x,y,theta
0.681665,0.619111,0.0390695
0.681665,0.619111,0.0390695
0.679678,0.616549,0.0390695
0.674078,0.618406,0.0390695
0.943867,0.625192,0.0345254
1.41783,0.602639,0.037833
1.9006,0.62861,0.0391306
2.39685,0.632853,0.0404405
2.48395,0.667868,-0.661345
2.482,0.660913,-1.41226
2.52805,0.273553,-1.48204
2.57147,-0.221346,-1.48005
2.61574,-0.715017,-1.47925
2.66409,-1.19921,-1.47012
2.73162,-1.65898,-1.5083
2.74783,-1.68658,-2.26583
2.77767,-1.68682,-2.9736
2.30143,-1.74735,-2.96915
2.01672,-1.7849,2.98501
1.52755,-1.69687,2.98613
1.03894,-1.6095,2.98644
0.611016,-1.54384,2.86666
0.581518,-1.55265,2.11471
0.442262,-1.32663,1.7788
0.443405,-1.1343,1.42794
0.539098,-0.65622,1.43091
0.618574,-0.179183,1.43106
0.678193,0.302227,1.42842
0.659009,0.365904,0.682168
0.648684,0.394477,-0.0690009
1.03682,0.331129,-0.127856
1.58027,0.24062,-0.129516
2.06768,0.213167,-0.127549
2.40438,0.212694,-0.488543
2.42193,0.23351,-1.24064
2.3969,0.158089,-1.80182
2.31682,-0.270187,-1.80223
2.16139,-0.762549,-1.78608
2.07569,-1.26825,-1.78963
2.03106,-1.35816,-1.7893
2.03703,-1.3484,-1.7893
2.03213,-1.36151,-1.7893
