x,y,theta
0.681665,0.619111,0.0390695
0.68436,0.569963,0.0609538
0.801422,0.479144,0.0117898
0.869485,0.684426,0.0138738
1.08222,0.853384,0.0800273
1.68499,0.816866,0.103266
2.05096,0.811569,0.108822
2.71841,0.926151,0.0203595
3.14446,1.06926,-0.426946
3.26109,0.968938,-1.23382
3.2639,0.613878,-1.55093
3.19284,0.179636,-1.51822
3.14317,-0.153364,-1.48354
3.13183,-0.550671,-1.41102
3.33429,-0.847233,-1.49865
3.19118,-1.07733,-1.95156
3.10177,-0.988097,-2.77096
2.56278,-1.06864,-3.00992
2.24147,-1.1114,-3.11811
1.71372,-1.10535,3.08279
1.04919,-1.03027,2.97009
0.686311,-0.976072,3.08345
0.599698,-1.05001,2.43677
0.477259,-0.907857,2.00766
0.536023,-0.777851,1.45443
0.687896,-0.120971,1.37662
0.738588,0.268104,1.3862
0.894319,0.724177,1.42417
1.12505,0.936384,0.693971
1.11961,0.876874,-0.147598
1.33552,0.680559,-0.463669
1.69588,0.362289,-0.458634
2.27722,0.223375,-0.321026
2.7091,-0.000660967,-0.614552
2.7465,0.0588081,-1.35205
2.84251,0.21678,-2.18817
2.7703,-0.298787,-2.16552
2.49667,-0.596966,-2.17313
2.29334,-1.09326,-2.04549
2.24113,-1.07208,-1.94985
2.30192,-1.10923,-2.00048
2.23986,-1.08602,-2.13879
