x,y,theta
0.678576,0.6293,0.0390695
0.656312,0.633294,0.0390695
0.650902,0.628983,0.0390695
0.652084,0.634944,0.0390695
0.646742,0.639196,0.0390695
0.63677,0.636372,0.0390695
0.64701,0.627709,0.0390695
0.647372,0.626026,0.0390695
0.640845,0.625055,0.0390695
0.647395,0.60116,0.0390695
0.651334,0.598636,0.0390695
0.655052,0.592615,0.0390695
0.661902,0.600619,0.0390695
0.646198,0.623352,0.0390695
0.635811,0.634718,0.0390695
0.649683,0.648943,0.0390695
0.677901,0.64759,0.0390695
0.670454,0.639833,0.0390695
0.65401,0.632891,0.0390695
0.653243,0.648869,0.0390695
0.674477,0.634443,0.0390695
0.655643,0.637815,0.0390695
0.647197,0.653024,0.0390695
0.643291,0.651725,0.0390695
0.636499,0.660913,0.0390695
0.628811,0.670934,0.0390695
0.620014,0.663742,0.0390695
0.605573,0.666353,0.0390695
0.614652,0.657305,0.0390695
0.633128,0.648584,0.0390695
0.652734,0.656224,0.0390695
0.650142,0.66964,0.0390695
0.65062,0.660536,0.0390695
0.638933,0.674943,0.0390695
0.629166,0.674523,0.0390695
0.631866,0.664759,0.0390695
0.645329,0.667137,0.0390695
0.642714,0.685285,0.0390695
0.639141,0.672101,0.0390695
0.629545,0.677046,0.0390695
0.620982,0.677428,0.0390695
0.62183,0.671913,0.0390695
0.610124,0.680702,0.0390695
0.612488,0.679086,0.0390695
0.610822,0.696627,0.0390695
0.623245,0.702683,0.0390695
0.608349,0.720161,0.0390695
0.611683,0.719274,0.0390695
0.622974,0.717132,0.0390695
0.626908,0.710834,0.0390695
0.627415,0.712253,0.0390695
0.619235,0.721445,0.0390695
0.609381,0.707378,0.0390695
0.608067,0.698726,0.0390695
0.615357,0.699958,0.0390695
0.612203,0.705287,0.0390695
0.618299,0.701609,0.0390695
0.624564,0.704689,0.0390695
0.622918,0.70044,0.0390695
0.613407,0.684363,0.0390695
0.617448,0.671388,0.0390695
0.616253,0.667778,0.0390695
0.599852,0.663789,0.0390695
0.5961,0.667411,0.0390695
0.598161,0.662656,0.0390695
0.593489,0.661302,0.0390695
0.599017,0.668174,0.0390695
0.601045,0.687437,0.0390695
0.591788,0.684243,0.0390695
0.584113,0.671811,0.0390695
0.588412,0.67549,0.0390695
0.56898,0.673872,0.0390695
0.556943,0.673612,0.0390695
0.552282,0.666484,0.0390695
0.564992,0.651284,0.0390695
0.574669,0.646755,0.0390695
0.566448,0.646624,0.0390695
0.57183,0.637434,0.0390695
0.570027,0.632901,0.0390695
0.554206,0.64387,0.0390695
0.565599,0.639204,0.0390695
0.577769,0.623949,0.0390695
0.57693,0.61981,0.0390695
0.568374,0.626653,0.0390695
0.58075,0.630091,0.0390695
0.590757,0.634887,0.0390695
0.568114,0.615682,0.0390695
0.571343,0.613835,0.0390695
0.560185,0.635936,0.0390695
0.5724,0.637658,0.0390695
0.573479,0.631021,0.0390695
0.568589,0.625422,0.0390695
0.563858,0.614048,0.0390695
0.571753,0.609723,0.0390695
0.594829,0.612727,0.0390695
0.582072,0.602729,0.0390695
0.58003,0.604322,0.0390695
0.575388,0.60822,0.0390695
0.589482,0.610606,0.0390695
0.597481,0.593418,0.0390695
0.58643,0.604248,0.0390695
0.582433,0.606444,0.0390695
0.561408,0.602024,0.0390695
0.564342,0.593561,0.0390695
0.556098,0.595521,0.0390695
0.54648,0.589949,0.0390695
0.536958,0.590477,0.0390695
0.54467,0.571919,0.0390695
0.535515,0.586283,0.0390695
0.536633,0.598725,0.0390695
