x,y,theta
0.68016,0.617136,0.0390695
0.679003,0.618865,0.0390695
0.679786,0.617694,0.0390695
0.679672,0.61825,0.0390695
0.678642,0.618003,0.0390695
0.680572,0.618716,0.0390695
0.680239,0.618746,0.0390695
0.680384,0.621086,0.0390695
0.680919,0.622701,0.0390695
0.682664,0.621945,0.0390695
0.682498,0.621347,0.0390695
0.682978,0.621158,0.0390695
0.682632,0.621072,0.0390695
0.68186,0.621084,0.0390695
0.683763,0.621556,0.0390695
0.683221,0.62169,0.0390695
0.684396,0.622328,0.0390695
0.684184,0.620995,0.0390695
0.682825,0.620453,0.0390695
0.682063,0.618665,0.0390695
0.680304,0.617141,0.0390695
0.680864,0.617986,0.0390695
0.679957,0.618678,0.0390695
0.679921,0.61891,0.0390695
0.680622,0.618482,0.0390695
0.6806,0.618553,0.0390695
0.680993,0.618609,0.0390695
0.680381,0.617185,0.0390695
0.681289,0.617812,0.0390695
0.681013,0.617815,0.0390695
0.682001,0.616331,0.0390695
0.681259,0.616462,0.0390695
0.680772,0.616526,0.0390695
0.683,0.616569,0.0390695
0.681978,0.617851,0.0390695
0.679793,0.617951,0.0390695
0.679602,0.619133,0.0390695
0.679929,0.617866,0.0390695
0.67812,0.616999,0.0390695
0.677476,0.614978,0.0390695
0.676976,0.615409,0.0390695
0.677933,0.617305,0.0390695
0.67867,0.615954,0.0390695
0.679248,0.615078,0.0390695
0.680478,0.612161,0.0390695
0.680924,0.613032,0.0390695
0.680321,0.612565,0.0390695
0.679164,0.613027,0.0390695
0.678139,0.614466,0.0390695
0.677201,0.613976,0.0390695
0.676331,0.61289,0.0390695
0.675655,0.612077,0.0390695
0.677004,0.611222,0.0390695
0.678577,0.610392,0.0390695
0.678742,0.610869,0.0390695
0.678009,0.610287,0.0390695
0.678043,0.609763,0.0390695
0.677433,0.61175,0.0390695
0.677936,0.611508,0.0390695
0.677954,0.613388,0.0390695
0.678902,0.611877,0.0390695
0.678566,0.612239,0.0390695
0.678298,0.612128,0.0390695
0.678087,0.612673,0.0390695
0.677997,0.613059,0.0390695
0.679137,0.614112,0.0390695
0.680271,0.613882,0.0390695
0.67889,0.614311,0.0390695
0.679067,0.613508,0.0390695
0.680029,0.613318,0.0390695
0.680218,0.61505,0.0390695
0.681503,0.61548,0.0390695
0.680157,0.615017,0.0390695
0.679876,0.612543,0.0390695
0.678702,0.614506,0.0390695
0.678472,0.614861,0.0390695
0.679271,0.613441,0.0390695
0.679544,0.612818,0.0390695
0.679066,0.612401,0.0390695
0.678726,0.611679,0.0390695
0.679372,0.611158,0.0390695
0.68006,0.612182,0.0390695
0.680563,0.612499,0.0390695
0.678816,0.612657,0.0390695
0.677121,0.613029,0.0390695
0.675525,0.612992,0.0390695
0.676276,0.612655,0.0390695
0.677149,0.612416,0.0390695
0.677483,0.611024,0.0390695
0.677868,0.609543,0.0390695
0.678307,0.609944,0.0390695
0.678606,0.609922,0.0390695
0.67864,0.610686,0.0390695
0.678371,0.613057,0.0390695
0.677213,0.61243,0.0390695
0.678264,0.612869,0.0390695
0.67866,0.613504,0.0390695
0.679299,0.614654,0.0390695
0.680275,0.612123,0.0390695
0.681308,0.612602,0.0390695
0.681909,0.614703,0.0390695
0.682084,0.614811,0.0390695
0.681187,0.61514,0.0390695
0.679155,0.614805,0.0390695
0.680045,0.613442,0.0390695
0.679451,0.611641,0.0390695
0.679993,0.611854,0.0390695
0.682505,0.610987,0.0390695
0.681582,0.611729,0.0390695
0.680857,0.610794,0.0390695
0.679174,0.609791,0.0390695
0.678997,0.611029,0.0390695
0.679608,0.61071,0.0390695
0.678422,0.610234,0.0390695
0.678426,0.61119,0.0390695
0.678788,0.612305,0.0390695
0.679376,0.612591,0.0390695
0.677368,0.612443,0.0390695
0.677644,0.613644,0.0390695
0.679001,0.614531,0.0390695
0.678713,0.616112,0.0390695
0.679455,0.614019,0.0390695
0.678828,0.613801,0.0390695
0.679097,0.613656,0.0390695
0.678472,0.613695,0.0390695
0.676966,0.613213,0.0390695
0.67646,0.612873,0.0390695
0.675779,0.612024,0.0390695
0.676239,0.611901,0.0390695
0.673941,0.610263,0.0390695
0.673482,0.609804,0.0390695
0.673113,0.608606,0.0390695
0.6733,0.608477,0.0390695
0.672288,0.608942,0.0390695
0.672972,0.611027,0.0390695
0.672905,0.611548,0.0390695
0.674237,0.612685,0.0390695
0.67574,0.612495,0.0390695
0.67568,0.613135,0.0390695
0.675667,0.611802,0.0390695
0.678147,0.612689,0.0390695
0.677012,0.613908,0.0390695
0.675224,0.614505,0.0390695
0.674674,0.614921,0.0390695
0.675137,0.614685,0.0390695
0.67564,0.615563,0.0390695
0.675014,0.615755,0.0390695
0.674562,0.615485,0.0390695
0.67411,0.616299,0.0390695
0.675419,0.615289,0.0390695
0.676979,0.616155,0.0390695
0.676373,0.617079,0.0390695
0.677901,0.61627,0.0390695
0.677758,0.617487,0.0390695
0.677859,0.617109,0.0390695
0.676869,0.620181,0.0390695
0.676179,0.621353,0.0390695
0.674704,0.62092,0.0390695
0.674486,0.620282,0.0390695
0.674512,0.620885,0.0390695
0.674857,0.621364,0.0390695
0.675666,0.62113,0.0390695
0.674535,0.622819,0.0390695
0.675457,0.62257,0.0390695
0.675129,0.623552,0.0390695
0.673254,0.625512,0.0390695
0.673525,0.624148,0.0390695
0.67436,0.624593,0.0390695
0.675133,0.625428,0.0390695
0.674964,0.624911,0.0390695
0.6754,0.623208,0.0390695
0.676417,0.62196,0.0390695
0.675414,0.621317,0.0390695
0.674279,0.620774,0.0390695
0.673652,0.621063,0.0390695
0.673154,0.623109,0.0390695
0.673288,0.622809,0.0390695
0.674501,0.622106,0.0390695
0.673391,0.622644,0.0390695
0.673758,0.622182,0.0390695
0.675628,0.621989,0.0390695
0.674876,0.621182,0.0390695
0.674683,0.621558,0.0390695
0.674232,0.62046,0.0390695
0.672949,0.619777,0.0390695
0.675968,0.618719,0.0390695
0.677039,0.618028,0.0390695
0.676515,0.619769,0.0390695
0.676191,0.620016,0.0390695
0.677384,0.61986,0.0390695
0.675553,0.619781,0.0390695
0.676124,0.618064,0.0390695
0.677873,0.617671,0.0390695
0.677809,0.617414,0.0390695
0.677516,0.615962,0.0390695
0.677443,0.616034,0.0390695
0.678404,0.615994,0.0390695
0.677209,0.615555,0.0390695
0.678018,0.616433,0.0390695
0.677918,0.615877,0.0390695
0.679346,0.616269,0.0390695
0.678526,0.617358,0.0390695
0.676609,0.618132,0.0390695
0.677367,0.618093,0.0390695
0.676888,0.616232,0.0390695
0.679271,0.614451,0.0390695
0.680142,0.61286,0.0390695
0.67965,0.611901,0.0390695
0.680577,0.611002,0.0390695
0.681839,0.611726,0.0390695
0.680158,0.61261,0.0390695
